Sex_Code_Text,Ethnic_Code_Text,LegalStatus,CustodyStatus,MaritalStatus,ScoreText,age,priors_count
Male,Asian,Pretrial,Jail Inmate,Single,High,28.0,9.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,56.0,1.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Low,28.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,33.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,High,27.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,30.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,30.0,6.0
Male,Caucasian,Post Sentence,Probation,Single,Low,51.0,0.0
Male,Caucasian,Post Sentence,Probation,Single,Low,51.0,0.0
Male,Caucasian,Post Sentence,Probation,Single,Low,51.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,48.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,High,48.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,High,48.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,High,48.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,High,48.0,5.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Medium,32.0,8.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Medium,32.0,8.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Medium,32.0,8.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,41.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,41.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,41.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,41.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,41.0,3.0
Male,Other,Pretrial,Jail Inmate,Single,Low,21.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,25.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,25.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,27.0,0.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Medium,71.0,12.0
Male,Caucasian,Pretrial,Jail Inmate,Divorced,Medium,55.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Divorced,Medium,55.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Divorced,Medium,55.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Divorced,Medium,55.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,High,29.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,High,29.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,High,29.0,6.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,29.0,1.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,29.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,High,24.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,High,24.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,High,24.0,1.0
Male,Caucasian,Pretrial,Jail Inmate,Divorced,Low,53.0,8.0
Male,Caucasian,Pretrial,Jail Inmate,Divorced,Low,53.0,8.0
Male,African-American,Pretrial,Jail Inmate,Single,High,23.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,High,23.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,High,23.0,2.0
Male,African-American,Post Sentence,Probation,Single,Low,35.0,5.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,23.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,23.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Low,61.0,0.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Medium,26.0,1.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,25.0,2.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,25.0,2.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,25.0,2.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,25.0,2.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Medium,31.0,1.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Medium,31.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,25.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,25.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,25.0,6.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,48.0,4.0
Male,African-American,Other,Probation,Single,Low,32.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,27.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,27.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,27.0,2.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,38.0,1.0
Female,African-American,Pretrial,Jail Inmate,Single,Medium,32.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,Medium,32.0,0.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,31.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,24.0,1.0
Male,Other,Pretrial,Jail Inmate,Single,High,30.0,5.0
Male,Other,Pretrial,Jail Inmate,Single,High,30.0,5.0
Male,Other,Pretrial,Jail Inmate,Single,High,30.0,5.0
Male,Other,Pretrial,Jail Inmate,Single,High,30.0,5.0
Male,Other,Pretrial,Jail Inmate,Single,High,30.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,22.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,36.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,High,35.0,12.0
Male,African-American,Pretrial,Jail Inmate,Single,High,35.0,12.0
Male,African-American,Pretrial,Jail Inmate,Single,High,35.0,12.0
Female,Caucasian,Pretrial,Jail Inmate,Single,Medium,22.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,26.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,26.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,26.0,5.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Low,45.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,High,36.0,4.0
Female,African-American,Pretrial,Jail Inmate,Single,High,36.0,4.0
Male,Caucasian,Pretrial,Jail Inmate,Divorced,Low,62.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Divorced,Low,62.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Divorced,Low,62.0,0.0
Female,Other,Pretrial,Jail Inmate,Married,Low,60.0,0.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,26.0,9.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,26.0,9.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,26.0,9.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,26.0,9.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,26.0,9.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,27.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,55.0,5.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,45.0,4.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,45.0,4.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,45.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,45.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,25.0,9.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Low,83.0,0.0
Male,African-American,Pretrial,Jail Inmate,Married,High,28.0,5.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,49.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,31.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,55.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,55.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,55.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,55.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,55.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,55.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,31.0,0.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,46.0,5.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,46.0,5.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,46.0,5.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,46.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,23.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,45.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,45.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,25.0,9.0
Male,Caucasian,Pretrial,Jail Inmate,Separated,Low,44.0,4.0
Male,Other,Pretrial,Jail Inmate,Married,Low,40.0,0.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Low,61.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,38.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,28.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,30.0,3.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,30.0,3.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Low,23.0,0.0
Male,Other,Pretrial,Jail Inmate,Separated,Low,36.0,1.0
Male,Other,Pretrial,Jail Inmate,Separated,Low,36.0,1.0
Male,Other,Pretrial,Jail Inmate,Separated,Low,36.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,27.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,27.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,27.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,High,40.0,0.0
Female,Caucasian,Pretrial,Pretrial Defendant,Single,Medium,19.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,27.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,42.0,17.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,42.0,17.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,42.0,17.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,42.0,17.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,42.0,17.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,42.0,17.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,34.0,13.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,34.0,13.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Low,35.0,2.0
Male,Caucasian,Pretrial,Jail Inmate,Married,Low,35.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,High,39.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,High,39.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,High,39.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,High,50.0,24.0
Male,African-American,Pretrial,Jail Inmate,Single,High,50.0,24.0
Male,African-American,Pretrial,Jail Inmate,Single,High,50.0,24.0
Male,African-American,Pretrial,Jail Inmate,Single,High,50.0,24.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,39.0,0.0
Male,Hispanic,Pretrial,Jail Inmate,Separated,Low,38.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,30.0,2.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Low,36.0,1.0
Female,African-American,Pretrial,Jail Inmate,Single,High,30.0,14.0
Female,African-American,Pretrial,Jail Inmate,Single,High,30.0,14.0
Female,Caucasian,Pretrial,Jail Inmate,Single,Medium,24.0,1.0
Female,Other,Pretrial,Jail Inmate,Single,Low,39.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,46.0,9.0
Male,African-American,Pretrial,Jail Inmate,Single,High,46.0,9.0
Male,African-American,Pretrial,Jail Inmate,Single,High,46.0,9.0
Male,African-American,Pretrial,Jail Inmate,Single,High,46.0,9.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,29.0,2.0
Female,Caucasian,Pretrial,Pretrial Defendant,Single,Low,41.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,High,25.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,High,25.0,2.0
Male,Caucasian,Pretrial,Jail Inmate,Significant Other,Low,32.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Widowed,Low,68.0,0.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,25.0,0.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Low,22.0,2.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Low,22.0,2.0
Male,Hispanic,Other,Probation,Single,High,21.0,2.0
Male,Hispanic,Other,Probation,Single,High,21.0,2.0
Male,Other,Pretrial,Jail Inmate,Single,Medium,25.0,1.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,23.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,23.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,23.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,21.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,21.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,38.0,0.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,57.0,2.0
Female,African-American,Pretrial,Pretrial Defendant,Single,High,29.0,2.0
Female,African-American,Pretrial,Pretrial Defendant,Single,High,29.0,2.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,49.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,49.0,0.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Medium,22.0,1.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,50.0,2.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,31.0,1.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Medium,22.0,1.0
Male,African-American,Pretrial,Probation,Single,Low,26.0,4.0
Male,African-American,Pretrial,Probation,Single,Low,26.0,4.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,38.0,3.0
Male,Hispanic,Pretrial,Jail Inmate,Single,Low,35.0,5.0
Male,African-American,Pretrial,Jail Inmate,Single,High,29.0,1.0
Male,Other,Pretrial,Jail Inmate,Single,Low,26.0,1.0
Male,Other,Pretrial,Jail Inmate,Single,Low,26.0,1.0
Male,Other,Pretrial,Jail Inmate,Single,Low,26.0,1.0
Male,Other,Pretrial,Jail Inmate,Single,Low,26.0,1.0
Male,Other,Pretrial,Jail Inmate,Single,Low,26.0,1.0
Male,Other,Pretrial,Jail Inmate,Single,Low,26.0,1.0
Male,Other,Pretrial,Jail Inmate,Single,Low,26.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,22.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,22.0,0.0
Male,African-American,Pretrial,Jail Inmate,Divorced,Medium,44.0,0.0
Male,African-American,Post Sentence,Probation,Single,High,32.0,8.0
Male,African-American,Post Sentence,Probation,Single,High,32.0,8.0
Male,African-American,Post Sentence,Probation,Single,High,32.0,8.0
Male,African-American,Post Sentence,Probation,Single,High,32.0,8.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,53.0,15.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,53.0,15.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,53.0,15.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Medium,38.0,7.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Medium,38.0,7.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Medium,38.0,7.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Medium,38.0,7.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Medium,38.0,7.0
Male,Hispanic,Pretrial,Jail Inmate,Married,Medium,38.0,7.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,26.0,6.0
Male,African-American,Pretrial,Jail Inmate,Single,High,25.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,25.0,0.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,27.0,14.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,27.0,14.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,27.0,14.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,27.0,14.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,High,27.0,14.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,34.0,0.0
Female,Caucasian,Pretrial,Pretrial Defendant,Divorced,Low,55.0,6.0
Female,Caucasian,Pretrial,Pretrial Defendant,Divorced,Low,55.0,6.0
Male,African-American,Pretrial,Jail Inmate,Married,Low,59.0,1.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,Low,24.0,1.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,Low,24.0,1.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,Low,24.0,1.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,Low,24.0,1.0
Male,African-American,Pretrial,Jail Inmate,Significant Other,Low,24.0,1.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,27.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,High,28.0,9.0
Male,African-American,Pretrial,Jail Inmate,Single,High,28.0,9.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,39.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,29.0,1.0
Female,Other,Pretrial,Pretrial Defendant,Married,Low,46.0,1.0
Male,Asian,Pretrial,Jail Inmate,Single,Low,24.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,62.0,0.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,35.0,0.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Medium,45.0,3.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Medium,45.0,3.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Medium,25.0,9.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,27.0,0.0
Male,African-American,Pretrial,Pretrial Defendant,Single,High,30.0,8.0
Male,African-American,Pretrial,Pretrial Defendant,Single,High,30.0,8.0
Male,African-American,Pretrial,Jail Inmate,Single,Low,23.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,25.0,7.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,25.0,7.0
Male,Caucasian,Pretrial,Jail Inmate,Single,High,25.0,7.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,28.0,8.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,28.0,8.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,28.0,8.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,28.0,8.0
Male,African-American,Pretrial,Pretrial Defendant,Single,Low,37.0,1.0
Male,African-American,Pretrial,Jail Inmate,Single,Medium,28.0,5.0
Female,African-American,Pretrial,Jail Inmate,Single,High,43.0,0.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,25.0,4.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,30.0,4.0
Female,African-American,Pretrial,Jail Inmate,Single,Low,30.0,4.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,22.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,22.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Medium,22.0,3.0
Male,Caucasian,Pretrial,Jail Inmate,Single,Low,26.0,2.0
